camera_id,view_id,location,description,url,suggested_heading,confidence,eastbound_heading,westbound_heading
4,10,QEW at Burlington Skyway,Fort Erie Bound,https://511on.ca/map/Cctv/10,354.70876696238406,high,174.70876696238406,354.70876696238406
4,11,QEW at Burlington Skyway,Looking Down,https://511on.ca/map/Cctv/11,,n/a,174.70876696238406,354.70876696238406
4,12,QEW at Burlington Skyway,Toronto Bound,https://511on.ca/map/Cctv/12,174.70876696238406,high,174.70876696238406,354.70876696238406
5,13,QEW near Mississauga Road (2),Toronto Bound,https://511on.ca/map/Cctv/13,43.77428660741168,high,43.77428660741168,223.77428660741168
5,14,QEW near Mississauga Road (2),Looking Down,https://511on.ca/map/Cctv/14,,n/a,43.77428660741168,223.77428660741168
5,15,QEW near Mississauga Road (2),Fort Erie Bound,https://511on.ca/map/Cctv/15,223.77428660741168,high,43.77428660741168,223.77428660741168
210,570,QEW West of Fifty Road,,https://511on.ca/map/Cctv/570,38.77563095194125,low,38.77563095194125,218.77563095194125
211,571,QEW near Millen Road,,https://511on.ca/map/Cctv/571,38.7252303424753,low,38.7252303424753,218.7252303424753
212,572,QEW near Grays Road,,https://511on.ca/map/Cctv/572,37.788846636730455,low,37.788846636730455,217.78884663673045
213,573,QEW near Centennial Parkway,,https://511on.ca/map/Cctv/573,1.550082195906839,low,1.550082195906839,181.55008219590684
214,574,QEW near Red Hill Valley Parkway,,https://511on.ca/map/Cctv/574,177.89100454833238,low,177.89100454833238,357.8910045483324
215,575,QEW near Nikola Tesla Boulevard,,https://511on.ca/map/Cctv/575,38.80571578425122,low,38.80571578425122,218.80571578425122
216,576,QEW near Woodward Avenue,,https://511on.ca/map/Cctv/576,37.622203074627066,low,37.622203074627066,217.62220307462707
217,577,QEW West of Eastport Drive,,https://511on.ca/map/Cctv/577,38.992749884359625,low,38.992749884359625,218.99274988435963
218,578,QEW East of Eastport Drive - Toronto Bound,,https://511on.ca/map/Cctv/578,38.50256567176439,medium,38.50256567176439,218.5025656717644
219,579,QEW Burlington Skyway - Hamilton Side,,https://511on.ca/map/Cctv/579,181.64783135397573,medium,1.6478313539757323,181.64783135397573
220,580,QEW Burlington Skyway - Toronto Side,,https://511on.ca/map/Cctv/580,153.6150860006535,medium,153.6150860006535,333.6150860006535
221,581,QEW Ramp to Northshore Boulevard,,https://511on.ca/map/Cctv/581,4.930213178559654,low,4.930213178559654,184.93021317855965
222,582,QEW East of Northshore Boulevard,,https://511on.ca/map/Cctv/582,160.47054924397094,low,160.47054924397094,340.47054924397094
223,583,QEW near Trafalgar Road,,https://511on.ca/map/Cctv/583,11.32688180486997,low,11.32688180486997,191.32688180486997
224,584,QEW near Fairview Street,,https://511on.ca/map/Cctv/584,36.78334134299979,low,36.78334134299979,216.7833413429998
225,585,QEW near Highway 403/407 IC,,https://511on.ca/map/Cctv/585,164.13639779052164,low,164.13639779052164,344.13639779052164
226,586,QEW West of Brant Street,,https://511on.ca/map/Cctv/586,15.36537837873135,low,15.36537837873135,195.36537837873135
227,587,QEW East of Brant Street,,https://511on.ca/map/Cctv/587,153.12355246506934,low,153.12355246506934,333.12355246506934
228,588,QEW near Guelph Line,,https://511on.ca/map/Cctv/588,160.28435388445962,low,160.28435388445962,340.2843538844596
229,589,QEW East of Guelph Line,,https://511on.ca/map/Cctv/589,157.03684563785123,low,157.03684563785123,337.03684563785123
230,590,QEW near Walkers Line,,https://511on.ca/map/Cctv/590,155.86210282492914,low,155.86210282492914,335.86210282492914
231,591,QEW East of Walkers Line,,https://511on.ca/map/Cctv/591,150.28889978643036,low,150.28889978643036,330.28889978643036
232,592,QEW near Appleby Line,,https://511on.ca/map/Cctv/592,149.36614199754354,low,149.36614199754354,329.36614199754354
233,593,QEW East of Appleby Line,,https://511on.ca/map/Cctv/593,159.53108729544215,low,159.53108729544215,339.53108729544215
234,594,QEW near Burloak Drive,,https://511on.ca/map/Cctv/594,2.447647500925825,low,2.447647500925825,182.44764750092583
235,595,QEW East of Burloak Drive,,https://511on.ca/map/Cctv/595,37.86275363950227,low,37.86275363950227,217.86275363950227
236,596,QEW near Bronte Road,,https://511on.ca/map/Cctv/596,177.0871192267166,low,177.0871192267166,357.0871192267166
237,597,QEW East of Bronte Road,,https://511on.ca/map/Cctv/597,2.6222179336535874,low,2.6222179336535874,182.6222179336536
238,598,QEW near Third Line,,https://511on.ca/map/Cctv/598,175.24357569049664,low,175.24357569049664,355.24357569049664
239,599,QEW East of Third Line,,https://511on.ca/map/Cctv/599,1.4077240187608027,low,1.4077240187608027,181.4077240187608
240,600,QEW near Fourth Line,,https://511on.ca/map/Cctv/600,39.127780082412414,low,39.127780082412414,219.12778008241241
241,601,QEW near Dorval Drive,,https://511on.ca/map/Cctv/601,39.472821978815944,low,39.472821978815944,219.47282197881594
242,602,QEW East of Dorval Drive,,https://511on.ca/map/Cctv/602,38.50677441848967,low,38.50677441848967,218.50677441848967
243,603,QEW near Royal Windsor Drive,,https://511on.ca/map/Cctv/603,11.042232833316177,low,11.042232833316177,191.04223283331618
244,604,QEW East of Royal Windsor Drive,,https://511on.ca/map/Cctv/604,144.45944053132706,low,144.45944053132706,324.45944053132706
245,605,QEW near Ford Drive,,https://511on.ca/map/Cctv/605,177.34236482907954,low,177.34236482907954,357.34236482907954
246,606,QEW near Highway 403 (Oakville),,https://511on.ca/map/Cctv/606,21.515016251075224,low,21.515016251075224,201.51501625107522
247,607,QEW West of Winston Churchill Boulevard,,https://511on.ca/map/Cctv/607,9.993644344621146,low,9.993644344621146,189.99364434462115
249,609,QEW West of Erin Mills Parkway,,https://511on.ca/map/Cctv/609,178.30678123191308,low,178.30678123191308,358.3067812319131
250,610,QEW near Southbound Road/Erin Mills Parkway,,https://511on.ca/map/Cctv/610,2.262114147080524,low,2.262114147080524,182.26211414708052
251,611,QEW East of Erin Mills Parkway,,https://511on.ca/map/Cctv/611,39.160210071455595,low,39.160210071455595,219.1602100714556
252,612,QEW near Mississauga Road (1),,https://511on.ca/map/Cctv/612,42.13369555364716,low,42.13369555364716,222.13369555364716
253,613,QEW East of Mississauga Road,,https://511on.ca/map/Cctv/613,29.152047709288126,low,29.152047709288126,209.15204770928813
1159,2261,QEW near Winston Churchill Boulevard,,https://511on.ca/map/Cctv/2261,39.51389265371472,low,39.51389265371472,219.51389265371472
